category_truth,text
Scheduling & Caseload,"Hey, wanted to flag something. the system auto-assigned me a new client outside my specialty area — can this be reassigned to someone better suited? Happy to hop on a call if that's easier."
Platform / Technical,"Hi, quick one for you — I can't get my session notes to save — I've tried three times and the page just spins and then times out. Happy to hop on a call if that's easier."
Scheduling & Caseload,"Hi, could someone take a look at this? I'm currently carrying more clients than my contract specifies and I need help redistributing a few before I hit burnout."
Scheduling & Caseload,"Hi, quick one for you — I need coverage for [CLIENT ID]'s sessions next week since I'll be out on planned leave starting Monday. Thanks in advance for looking into this."
Scheduling & Caseload,"Hello, I need some help with a situation. I'm currently carrying more clients than my contract specifies and I need help redistributing a few before I hit burnout. Appreciate any help you can give here."
Client Safety / Escalation,"Hello, I need some help with a situation. a client I'm seeing, [CLIENT ID], made a statement in today's session that sounded like passive suicidal ideation. I've documented it but need a clinical supervisor to review before our next session. This is fairly time-sensitive, so any help is appreciated."
Client Safety / Escalation,"Hey, wanted to flag something. a client mentioned they have access to a firearm and made a comment that concerned me enough that I want a second clinical opinion before our next scheduled session."
HR / Interpersonal,"Hi, quick one for you — I want to understand the process for filing a formal concern about how a teammate handled a shared client situation. Let me know if you need anything else from me."
Compensation & Payroll,"Hello, I need some help with a situation. my supervision-hours stipend wasn't included in this month's payout even though I logged the hours in the system. This is fairly time-sensitive, so any help is appreciated."
Scheduling & Caseload,"Hi, could someone take a look at this? there's a time zone mismatch on the calendar for one of my remote clients and they missed our session because of it."
General / Other,"Hi, could someone take a look at this? not urgent, but I wanted to ask a general question about how holiday coverage works across the team. Thanks in advance for looking into this."
Scheduling & Caseload,"Hi, quick one for you — my calendar synced incorrectly and I ended up double-booked for two client sessions at the same time this afternoon. Thanks in advance for looking into this."
Platform / Technical,"Hey, I ran into an issue and wanted to raise it. the platform logged me out mid-session and I had to scramble to get back in while my client waited. Let me know if you need anything else from me."
Training & Resources,"Hi, quick one for you — I'd like to request a training session on the new tribe-matching framework since it's changed since I onboarded. Let me know if you need anything else from me."
Scheduling & Caseload,"Hi, sorry to bug you, but I need guidance on this. my [PROGRAM] circle call got scheduled during a national holiday and half the group can't make it. Can we get it moved? Please let me know next steps."
Compensation & Payroll,"Hey, I ran into an issue and wanted to raise it. my direct deposit didn't go through this cycle and I haven't gotten any notice about why. Can someone check what happened?"
Credentialing & Compliance,"Hi, could someone take a look at this? I need to submit my updated license renewal documentation but I'm not sure which portal section that goes in. Please let me know next steps."
Credentialing & Compliance,"Hi, sorry to bug you, but I need guidance on this. my supervision hours aren't tallying correctly in the system — it's showing fewer hours than what I've actually logged."
HR / Interpersonal,"Hi there, reaching out about the following. I disagree with the feedback I received in my last review and would like to discuss it with someone in HR. Appreciate any help you can give here."
Training & Resources,"Hey, wanted to flag something. the escalation procedure doc referenced in training is out of date and doesn't match what's actually in the portal anymore."
HR / Interpersonal,"Hi there, reaching out about the following. I want to understand the process for filing a formal concern about how a teammate handled a shared client situation. This is fairly time-sensitive, so any help is appreciated."
Credentialing & Compliance,"Hey, wanted to flag something. my malpractice insurance documentation on file looks outdated — can someone confirm if it needs to be refreshed?"
Platform / Technical,"Hello, I need some help with a situation. screen sharing isn't working during my [PROGRAM] circle calls — none of the members can see what I'm presenting. Appreciate any help you can give here."
Training & Resources,"Hi there, reaching out about the following. I'm unclear on how to handle group facilitation versus individual coaching sessions — is there a guide for this?"
Platform / Technical,"Hey, I ran into an issue and wanted to raise it. the audio kept cutting out during today's session and I couldn't tell if it was on my end or the platform's."
HR / Interpersonal,"Hi there, reaching out about the following. there's been some friction in my team's group chat that I think needs a manager to step in on. Please let me know next steps."
Compensation & Payroll,"Hi there, reaching out about the following. my 1099 for last year has the wrong total on it — it doesn't match the sessions I logged. Who do I talk to about a correction? Happy to hop on a call if that's easier."
Platform / Technical,"Hey, wanted to flag something. screen sharing isn't working during my [PROGRAM] circle calls — none of the members can see what I'm presenting. Thanks in advance for looking into this."
Scheduling & Caseload,"Hello, I need some help with a situation. I need to swap two client slots this week due to a personal scheduling conflict, but the portal doesn't have a self-serve option for that. Appreciate any help you can give here."
General / Other,"Hi, could someone take a look at this? not urgent, but I wanted to ask a general question about how holiday coverage works across the team. Please let me know next steps."
HR / Interpersonal,"Hi, could someone take a look at this? I want to raise a concern about a colleague's conduct during our last team meeting — it felt unprofessional. This is fairly time-sensitive, so any help is appreciated."
Training & Resources,"Hi, quick one for you — I never received the welcome packet that's supposed to include the crisis-response quick reference sheet. Let me know if you need anything else from me."
Platform / Technical,"Hello, I need some help with a situation. I can't upload my updated intake form template — the file keeps failing to attach in the resources section."
HR / Interpersonal,"Hi there, reaching out about the following. communication has broken down between me and my team lead and I'd like a mediated conversation. Happy to hop on a call if that's easier."
Compensation & Payroll,"Hi, quick one for you — my direct deposit didn't go through this cycle and I haven't gotten any notice about why. Can someone check what happened?"
Scheduling & Caseload,"Hello, I need some help with a situation. my [PROGRAM] circle call got scheduled during a national holiday and half the group can't make it. Can we get it moved? Please let me know next steps."
Training & Resources,"Hi, could someone take a look at this? I never received the welcome packet that's supposed to include the crisis-response quick reference sheet. This is fairly time-sensitive, so any help is appreciated."
Client Safety / Escalation,"Hi, quick one for you — during my session with [CLIENT ID] they disclosed an incident of ongoing domestic violence at home. I want to make sure we're following the right mandatory reporting protocol. Please let me know next steps."
Scheduling & Caseload,"Hi, could someone take a look at this? the system auto-assigned me a new client outside my specialty area — can this be reassigned to someone better suited?"
Scheduling & Caseload,"Hi, quick one for you — there's a time zone mismatch on the calendar for one of my remote clients and they missed our session because of it. This is fairly time-sensitive, so any help is appreciated."
HR / Interpersonal,"Hi, sorry to bug you, but I need guidance on this. I want to understand the process for filing a formal concern about how a teammate handled a shared client situation. This is fairly time-sensitive, so any help is appreciated."
Client Safety / Escalation,"Hi there, reaching out about the following. during my session with [CLIENT ID] they disclosed an incident of ongoing domestic violence at home. I want to make sure we're following the right mandatory reporting protocol. Happy to hop on a call if that's easier."
Compensation & Payroll,"Hey, wanted to flag something. I submitted a reimbursement request for materials I bought for a group workshop three weeks ago and it still hasn't been processed. Appreciate any help you can give here."
Training & Resources,"Hey, wanted to flag something. the resource library doesn't have a template for the mid-program check-in I'm supposed to run with clients."
HR / Interpersonal,"Hi, quick one for you — I disagree with the feedback I received in my last review and would like to discuss it with someone in HR. Happy to hop on a call if that's easier."
Scheduling & Caseload,"Hi, sorry to bug you, but I need guidance on this. I have a client who's a repeated no-show and I want to understand our policy on when to pause or close out their case. Appreciate any help you can give here."
Credentialing & Compliance,"Hi, quick one for you — I have an ethics question about seeing two clients who know each other personally — want guidance before proceeding. Thanks in advance for looking into this."
General / Other,"Hi, sorry to bug you, but I need guidance on this. I have a question that doesn't seem to fit any specific category, about how referrals get counted toward caseload targets. This is fairly time-sensitive, so any help is appreciated."
Client Safety / Escalation,"Hi, sorry to bug you, but I need guidance on this. one of my clients has stopped responding for over a week after a session where they mentioned feeling hopeless. I'm concerned and want someone from the clinical safety team to weigh in on next steps. Appreciate any help you can give here."
Client Safety / Escalation,"Hello, I need some help with a situation. during my session with [CLIENT ID] they disclosed an incident of ongoing domestic violence at home. I want to make sure we're following the right mandatory reporting protocol."
Platform / Technical,"Hi, sorry to bug you, but I need guidance on this. the video call tool crashed twice during my session with [CLIENT ID] today and we lost about 15 minutes trying to reconnect. This is fairly time-sensitive, so any help is appreciated."
Compensation & Payroll,"Hi, quick one for you — I think my per-session rate updated incorrectly after my last review — it's showing the old rate on this pay period's statement. This is fairly time-sensitive, so any help is appreciated."
Training & Resources,"Hey, I ran into an issue and wanted to raise it. the resource library doesn't have a template for the mid-program check-in I'm supposed to run with clients. This is fairly time-sensitive, so any help is appreciated."
Scheduling & Caseload,"Hi there, reaching out about the following. I have back-to-back sessions with zero buffer for the rest of this week and it's affecting my ability to write notes properly. Let me know if you need anything else from me."
Platform / Technical,"Hey, I ran into an issue and wanted to raise it. the mobile app keeps crashing whenever I try to open a client's file from my phone."
General / Other,"Hey, I ran into an issue and wanted to raise it. I have an administrative question about how my practitioner profile bio gets updated on the client-facing site."
